5548,pope,→,ruff (fish)
6550,<hat>,→,mushroom cap
0750,"to search, to look for",↔,to want
4864,heart,→,hearts (in cards)
6858,<country>,→,turkey
0509,comb (of a bird),—,comb
0973,to stand up,→,"to revolt, rebel"
1303,"to pull, to draw",→,"to slow, linger"
0751,leaf,→,sheet of paper
0624,to see/to look at,→,to have an appearance
1148,to cool down (intr.),→,to calm down
1476,"to remain, stay",→,corpse
1776,female calf,→,girl
2295,buttock,—,"edge, border"
2540,"common, shared by several people",→,vulgar
0601,"wood, timber",—,forest
0242,"to grasp, seize",→,to understand
2978,poppy (Papaver somniferum),—,red
0471,eye,→,look (n.)
5617,key (of a door),→,keystone
1042,"to drive, to force to move on",→,to drive (the car)
0337,"to strike, hit",→,to astonish
1311,magpie (Pica pica),→,talkative person
2033,"fine, powder-like",—,thin (of an object)
1138,to bridle,→,to subjugate
5057,dry,→,dry (wine)
6755,"rupture, hernia",→,burstwort (herniaria)
2860,"wide, broad",—,far away
3764,straight,—,heterosexual
4763,<foreigner>,→,<thorny plant>
4825,bed,→,garden bed
0450,eye,→,"opening, hole"
1836,friend,→,beloved
1395,cross (n.),→,crossbill (Loxia)
5479,to drink,→,to consume alcoholic beverages
3191,sky,—,cloud
1258,to drop (of liquid),—,to die
4558,Ranunculus,—,cornflower (Centaurea)
6019,rain,→,earthworm
4022,father,—,defender
1404,pregnant,→,fraught with consequences
6007,beard,→,awn
7149,beetle,→,enthusiastic person
1645,tail,—,rudder (of a boat)
6207,<noise>,→,Bitis arietans
5529,field,→,fieldfare
7196,gold,→,goldenrod
4179,"to strike, hit",↔,strike of lightning
3676,transparent,→,comprehensible
6380,open-eyed,→,vigilant
3241,<foreigner>,→,syphilis
1191,circle,→,finger-ring
0433,"cover, lid",→,eyelid
2035,thin (of an object),—,not strong (of liquid or smell)
2044,thick,→,"dense, thick (liquid)"
4334,to ride a surfboard,—,to browse through (a digital source)
5288,hand/arm,→,hand (of a clock)
5811,body,→,institution
5540,corn crake,—,water rail
1942,"to cackle, to cluck",→,to speak
0140,to take prisoner,→,"to charm, to delight"
6519,horse (Equus caballus),→,hippopotamus
3494,<young animal>,↔,child (son or daughter)
